epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.54653,1.4215,5.04129,1.1037,0,0,0,0,1.58485,4.58564,0.99679,0,0,0
2,4.70668,1.55054,4.56857,1.43979,0,0,0,0,1.59033,4.59049,0.99667,5.44991e-06,5.44991e-06,5.44991e-06
3,6.79691,2.11175,5.54723,1.42363,0,0,0,0,1.59412,4.59089,0.99162,1.06796e-05,1.06796e-05,1.06796e-05
4,8.78709,1.78032,5.01435,1.31012,0,0,0,0,1.59525,4.59374,0.99061,1.56892e-05,1.56892e-05,1.56892e-05
5,10.9166,2.13011,5.62423,1.59858,0,0,0,0,1.59297,4.59344,0.99022,2.04786e-05,2.04786e-05,2.04786e-05
6,13.0988,1.42992,4.55874,1.19989,0,0,0,0,1.58292,4.59298,0.99078,2.50478e-05,2.50478e-05,2.50478e-05
7,14.9897,1.86627,5.05746,1.38341,0,0,0,0,1.57596,4.59158,0.99308,2.93968e-05,2.93968e-05,2.93968e-05
8,16.9015,1.48245,4.84418,1.32694,0,0,0,0,1.55846,4.5774,0.9941,3.35257e-05,3.35257e-05,3.35257e-05
9,18.8807,2.05899,5.46875,1.51194,0,0,0,0,1.55705,4.58039,0.99382,3.74344e-05,3.74344e-05,3.74344e-05
10,20.7804,1.78896,5.10346,1.2464,0,0,0,0,1.55076,4.57794,0.99316,4.11229e-05,4.11229e-05,4.11229e-05
11,22.9134,1.87956,4.89397,1.30738,0,0,0,0,1.54403,4.56853,0.99217,4.45912e-05,4.45912e-05,4.45912e-05
12,24.9578,1.95102,4.88104,1.48934,0,0,0,0,1.51275,4.57309,0.9936,4.78394e-05,4.78394e-05,4.78394e-05
13,26.8741,2.28215,5.83128,1.5513,0,0,0,0,1.44845,4.54911,0.99015,5.08673e-05,5.08673e-05,5.08673e-05
14,28.8907,1.50868,4.63668,1.13168,0,0,0,0,1.42635,4.54701,0.99409,5.36751e-05,5.36751e-05,5.36751e-05
15,30.8208,1.587,4.18361,1.44672,0.33333,0.08333,0.20833,0.16667,1.43116,4.55845,0.99625,5.62628e-05,5.62628e-05,5.62628e-05
16,33.1335,1.50485,4.6768,1.1636,0.33333,0.08333,0.20833,0.14583,1.44109,4.56931,1.00191,5.86302e-05,5.86302e-05,5.86302e-05
17,35.131,1.47402,4.97231,1.42255,0.33333,0.08333,0.20833,0.14583,1.42652,4.56963,0.99355,6.07775e-05,6.07775e-05,6.07775e-05
18,37.0003,1.45166,4.05991,1.10125,0.33333,0.08333,0.20833,0.14583,1.42652,4.56963,0.99355,6.27046e-05,6.27046e-05,6.27046e-05
19,39.1587,2.17067,5.15823,1.46278,0.33333,0.08333,0.20833,0.14583,1.37778,4.56789,0.97512,6.44115e-05,6.44115e-05,6.44115e-05
20,41.0663,1.35127,4.05493,1.13117,0.33333,0.08333,0.20833,0.14583,1.37778,4.56789,0.97512,6.58982e-05,6.58982e-05,6.58982e-05
21,43.5183,1.39429,4.3303,1.28063,0.33333,0.08333,0.20833,0.14583,1.33916,4.56136,0.96748,6.71648e-05,6.71648e-05,6.71648e-05
22,45.8101,1.15718,4.26804,0.93896,0.33333,0.08333,0.20833,0.14583,1.33916,4.56136,0.96748,6.82112e-05,6.82112e-05,6.82112e-05
23,48.0508,1.84075,4.25444,1.32285,0.33333,0.08333,0.20833,0.14583,1.28892,4.56645,0.95355,6.90374e-05,6.90374e-05,6.90374e-05
24,50.2723,1.32821,4.4809,1.20125,0.33333,0.08333,0.20833,0.14583,1.28892,4.56645,0.95355,6.96434e-05,6.96434e-05,6.96434e-05
25,52.4057,1.91945,4.65136,1.36027,0.33333,0.08333,0.20833,0.16667,1.2545,4.55965,0.9437,7.00293e-05,7.00293e-05,7.00293e-05
26,54.7897,1.14211,4.05236,1.04317,0.33333,0.08333,0.20833,0.16667,1.2545,4.55965,0.9437,7.0195e-05,7.0195e-05,7.0195e-05
27,57.0407,1.43906,4.08552,1.17409,0.33333,0.08333,0.20833,0.16667,1.23478,4.50889,0.93443,7.01405e-05,7.01405e-05,7.01405e-05
28,59.1995,1.35272,4.32036,1.19024,0.33333,0.08333,0.20833,0.16667,1.23478,4.50889,0.93443,6.98658e-05,6.98658e-05,6.98658e-05
29,61.3502,1.53215,3.53623,1.15614,0.17172,0.30556,0.18335,0.111,1.24306,4.46851,0.93552,6.9371e-05,6.9371e-05,6.9371e-05
30,63.5361,1.58581,3.99768,1.32815,0.17172,0.30556,0.18335,0.111,1.24306,4.46851,0.93552,6.8656e-05,6.8656e-05,6.8656e-05
