epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,65.8709,1.72943,3.58075,1.29951,0.12037,0.30556,0.19346,0.12531,1.26908,4.4507,0.95224,6.77208e-05,6.77208e-05,6.77208e-05
32,67.9273,1.8194,3.88273,1.2653,0.12037,0.30556,0.19346,0.12531,1.26908,4.4507,0.95224,6.65654e-05,6.65654e-05,6.65654e-05
33,70.0068,1.234,3.1332,1.04334,0.10484,0.30556,0.18029,0.12235,1.22481,4.41525,0.92783,6.51899e-05,6.51899e-05,6.51899e-05
34,72.0809,1.95007,5.05839,1.43267,0.10484,0.30556,0.18029,0.12235,1.22481,4.41525,0.92783,6.35942e-05,6.35942e-05,6.35942e-05
35,74.4204,1.23551,3.04586,1.08209,0.08421,0.30556,0.19862,0.12668,1.15659,4.38543,0.91157,6.17783e-05,6.17783e-05,6.17783e-05
36,76.6167,1.38632,3.66273,1.19435,0.08421,0.30556,0.19862,0.12668,1.15659,4.38543,0.91157,5.97422e-05,5.97422e-05,5.97422e-05
37,78.7189,1.34918,2.79924,0.97391,0.08148,0.30556,0.19816,0.1306,1.12652,4.36367,0.90407,5.7486e-05,5.7486e-05,5.7486e-05
38,80.6905,1.45737,2.94752,1.23418,0.08148,0.30556,0.19816,0.1306,1.12652,4.36367,0.90407,5.50095e-05,5.50095e-05,5.50095e-05
39,82.7876,1.79575,4.19985,1.19236,0.06944,0.30556,0.19378,0.13163,1.09338,4.36418,0.90505,5.23129e-05,5.23129e-05,5.23129e-05
40,84.7958,2.24458,4.28057,1.72299,0.06944,0.30556,0.19378,0.13163,1.09338,4.36418,0.90505,4.93962e-05,4.93962e-05,4.93962e-05
41,87.0014,2.20389,4.64899,1.75618,0.07949,0.38889,0.20616,0.12999,1.13553,4.34465,0.91384,4.62592e-05,4.62592e-05,4.62592e-05
42,88.9978,1.83573,4.09512,1.48742,0.07949,0.38889,0.20616,0.12999,1.13553,4.34465,0.91384,4.29021e-05,4.29021e-05,4.29021e-05
43,90.8858,1.55461,3.80788,1.14559,0.12598,0.72222,0.2631,0.17188,1.15905,4.32097,0.92063,3.93248e-05,3.93248e-05,3.93248e-05
44,92.9677,0.98254,3.28506,1.06768,0.12598,0.72222,0.2631,0.17188,1.15905,4.32097,0.92063,3.55273e-05,3.55273e-05,3.55273e-05
45,95.742,1.40948,3.97017,1.19599,0.11429,0.72222,0.24015,0.15997,1.1801,4.29915,0.92455,3.15096e-05,3.15096e-05,3.15096e-05
46,98.1118,1.83933,4.10894,1.28703,0.11429,0.72222,0.24015,0.15997,1.1801,4.29915,0.92455,2.72718e-05,2.72718e-05,2.72718e-05
47,100.348,1.08805,3.245,1.10766,0.09174,0.72222,0.26481,0.17739,1.19127,4.28137,0.9287,2.28138e-05,2.28138e-05,2.28138e-05
48,102.411,1.4731,3.74117,1.17083,0.09174,0.72222,0.26481,0.17739,1.19127,4.28137,0.9287,1.81356e-05,1.81356e-05,1.81356e-05
49,104.407,1.16186,3.35185,0.99166,0.08452,0.72222,0.25866,0.17374,1.1922,4.26629,0.93008,1.32372e-05,1.32372e-05,1.32372e-05
50,106.727,1.42922,3.80308,1.28011,0.08452,0.72222,0.25866,0.17374,1.1922,4.26629,0.93008,8.11871e-06,8.11871e-06,8.11871e-06
