epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.971,1.81039,4.63041,1.46477,0.07692,0.05348,0.07012,0.05323,1.50359,4.94711,1.09473,8.896e-05,8.896e-05,8.896e-05
2,370.065,1.7394,3.78099,1.43406,0.03781,0.21627,0.08209,0.06025,1.66765,4.80026,1.07121,0.000147151,0.000147151,0.000147151
3,557.676,1.7079,3.14014,1.32788,0.01844,0.36033,0.1023,0.07357,1.44438,4.32408,1.06362,0.000167912,0.000167912,0.000167912
4,771.836,1.68599,2.85186,1.34248,0.70626,0.03768,0.12086,0.08543,1.43766,3.90894,1.08463,0.000151243,0.000151243,0.000151243
5,982.942,1.71244,2.69082,1.35573,0.74514,0.1236,0.19298,0.1371,1.46544,3.6281,1.10498,9.71443e-05,9.71443e-05,9.71443e-05
