epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,200.91,1.81039,4.63041,1.46477,0.07692,0.05348,0.07012,0.05323,1.50359,4.94711,1.09473,8.896e-05,8.896e-05,8.896e-05
2,385.832,1.73988,3.74657,1.43505,0.03295,0.21627,0.07489,0.05485,1.69136,4.79623,1.07138,0.000179847,0.000179847,0.000179847
3,583.898,1.73737,3.09389,1.35268,0.98382,0.03687,0.09866,0.07439,1.43765,4.29287,1.08785,0.000266991,0.000266991,0.000266991
4,844.29,1.68713,2.76802,1.35152,0.66909,0.03925,0.11741,0.08126,1.5619,3.72692,1.13165,0.000350392,0.000350392,0.000350392
5,1074.18,1.73088,2.61746,1.35548,0.98472,0.07029,0.16563,0.09409,1.69513,3.61715,1.192,0.00043005,0.00043005,0.00043005
6,1279.12,1.75507,2.63178,1.42048,0.63878,0.08509,0.18368,0.1054,1.58121,3.25049,1.21209,0.000500956,0.000500956,0.000500956
7,1492.93,1.60552,2.3631,1.34383,0.79219,0.17543,0.25325,0.16172,1.79932,3.20473,1.24512,0.000489947,0.000489947,0.000489947
8,1667.07,1.57035,2.24286,1.32761,0.62525,0.2449,0.28209,0.19751,1.6673,2.99323,1.21137,0.000478938,0.000478938,0.000478938
9,1837.77,1.59741,2.19224,1.32324,0.68222,0.28098,0.31575,0.20852,1.75282,2.83226,1.2432,0.00046793,0.00046793,0.00046793
10,2012.18,1.58906,2.16559,1.33578,0.79101,0.29027,0.35328,0.21476,1.6862,2.45654,1.20598,0.000456921,0.000456921,0.000456921
11,2186.11,1.53789,2.09112,1.2939,0.72524,0.30891,0.34096,0.21273,1.6569,2.80998,1.19418,0.000445912,0.000445912,0.000445912
12,2365.12,1.49039,1.97477,1.22513,0.6636,0.30455,0.34371,0.21161,1.67435,2.6744,1.2027,0.000434903,0.000434903,0.000434903
13,2574.93,1.58933,1.9798,1.2845,0.87647,0.3433,0.4343,0.2625,1.65277,2.5773,1.19689,0.000423894,0.000423894,0.000423894
14,2742.56,1.53675,1.94375,1.24924,0.79481,0.37032,0.44425,0.27774,1.66835,2.5275,1.19412,0.000412886,0.000412886,0.000412886
15,2927.89,1.50336,1.87209,1.27926,0.77654,0.42599,0.46086,0.28861,1.66572,2.58058,1.2092,0.000401877,0.000401877,0.000401877
16,3062.58,1.42772,1.73432,1.22403,0.76113,0.44228,0.44277,0.29301,1.57788,2.31272,1.17777,0.000390868,0.000390868,0.000390868
17,3203.12,1.43807,1.81544,1.22154,0.95281,0.32611,0.45811,0.3072,1.57826,2.21595,1.20546,0.000379859,0.000379859,0.000379859
18,3345.75,1.53682,1.84211,1.28432,0.77872,0.41893,0.45754,0.27862,1.64168,2.39348,1.21363,0.00036885,0.00036885,0.00036885
19,3487.38,1.48109,1.78583,1.23773,0.68717,0.35256,0.41314,0.26896,1.51626,2.10188,1.16692,0.000357842,0.000357842,0.000357842
20,3627.93,1.42631,1.74483,1.22386,0.75747,0.36827,0.44507,0.27748,1.58163,2.1396,1.17636,0.000346833,0.000346833,0.000346833
21,3769.36,1.42177,1.68589,1.22681,0.79799,0.39111,0.46644,0.27606,1.60937,2.37522,1.21445,0.000335824,0.000335824,0.000335824
22,3909.63,1.3986,1.65223,1.1979,0.80655,0.44659,0.48298,0.28018,1.68589,2.19433,1.20244,0.000324815,0.000324815,0.000324815
23,4048.32,1.35582,1.55853,1.16763,0.9166,0.41764,0.48607,0.30994,1.58208,2.00707,1.17207,0.000313806,0.000313806,0.000313806
24,4189.76,1.39412,1.61148,1.18709,0.73728,0.44481,0.45528,0.30277,1.59501,2.01524,1.18501,0.000302798,0.000302798,0.000302798
25,4331.49,1.37703,1.53958,1.19583,0.75873,0.38326,0.47017,0.30847,1.53054,1.85639,1.16663,0.000291789,0.000291789,0.000291789
26,4472.72,1.3628,1.47953,1.18116,0.79009,0.35921,0.44908,0.30495,1.58328,1.87099,1.15773,0.00028078,0.00028078,0.00028078
27,4614,1.3842,1.51829,1.17897,0.77239,0.34606,0.46011,0.30924,1.61439,1.93408,1.17064,0.000269771,0.000269771,0.000269771
28,4755.25,1.3424,1.44384,1.15931,0.91663,0.31445,0.44185,0.30293,1.59385,1.81641,1.18017,0.000258762,0.000258762,0.000258762
29,4896.28,1.40087,1.51519,1.19538,0.76919,0.48994,0.51882,0.34366,1.62458,1.93358,1.19859,0.000247754,0.000247754,0.000247754
30,5038.14,1.33992,1.43489,1.18267,0.78694,0.45762,0.51148,0.34425,1.51915,1.78696,1.14779,0.000236745,0.000236745,0.000236745
31,5176.98,1.32276,1.40732,1.18153,0.82837,0.45542,0.50211,0.34287,1.57988,1.80098,1.17782,0.000225736,0.000225736,0.000225736
32,5317.04,1.33829,1.38285,1.15657,0.82882,0.36725,0.45312,0.2874,1.58397,1.76551,1.17175,0.000214727,0.000214727,0.000214727
33,5460.54,1.28735,1.37937,1.13035,0.80288,0.35007,0.45765,0.29179,1.62987,1.90055,1.20164,0.000203718,0.000203718,0.000203718
34,5601.98,1.34502,1.49149,1.15828,0.82264,0.35697,0.4465,0.29105,1.60997,1.79221,1.17518,0.00019271,0.00019271,0.00019271
35,5741.91,1.30399,1.37205,1.15829,0.81387,0.36852,0.45989,0.30241,1.55249,1.79454,1.15553,0.000181701,0.000181701,0.000181701
36,5883.29,1.28133,1.34735,1.15471,0.81781,0.36563,0.43664,0.29241,1.59617,1.80651,1.1828,0.000170692,0.000170692,0.000170692
37,6023.76,1.2561,1.27748,1.12942,0.90635,0.34424,0.45123,0.30219,1.58473,1.72726,1.17206,0.000159683,0.000159683,0.000159683
38,6166.35,1.29082,1.38627,1.14679,0.82374,0.35048,0.46749,0.32023,1.55905,1.82251,1.17564,0.000148674,0.000148674,0.000148674
39,6306.33,1.28968,1.29475,1.11406,0.74374,0.38777,0.43817,0.2895,1.53966,1.85088,1.16834,0.000137666,0.000137666,0.000137666
40,6446.5,1.29256,1.36087,1.13473,0.76634,0.40438,0.43617,0.29023,1.57195,1.77907,1.17245,0.000126657,0.000126657,0.000126657
41,6587.53,1.27582,1.49445,1.12664,0.79929,0.34899,0.4285,0.29012,1.52705,1.80763,1.14543,0.000115648,0.000115648,0.000115648
42,6725.12,1.31976,1.50267,1.1682,0.75063,0.37738,0.46628,0.31664,1.57578,1.79999,1.16317,0.000104639,0.000104639,0.000104639
43,6863.42,1.29322,1.46219,1.1427,0.77637,0.46501,0.51243,0.33639,1.64528,1.93741,1.20438,9.36304e-05,9.36304e-05,9.36304e-05
44,7000.78,1.26263,1.41833,1.14094,0.82656,0.44012,0.51754,0.33103,1.63313,1.87499,1.2049,8.26216e-05,8.26216e-05,8.26216e-05
45,7145.39,1.22952,1.37024,1.0965,0.85909,0.41017,0.5165,0.3409,1.58319,1.85955,1.1774,7.16128e-05,7.16128e-05,7.16128e-05
46,7283.96,1.25552,1.41109,1.12027,0.79727,0.38517,0.48508,0.30974,1.54295,1.85152,1.16145,6.0604e-05,6.0604e-05,6.0604e-05
47,7423.13,1.28382,1.46798,1.14377,0.78795,0.39321,0.48341,0.30837,1.56659,1.92562,1.17426,4.95952e-05,4.95952e-05,4.95952e-05
48,7568.13,1.25047,1.36489,1.11667,0.85124,0.41821,0.52342,0.33515,1.61509,1.88877,1.19109,3.85864e-05,3.85864e-05,3.85864e-05
49,7720.85,1.23136,1.35196,1.1218,0.8496,0.41965,0.52018,0.33177,1.60155,1.83769,1.17988,2.75776e-05,2.75776e-05,2.75776e-05
50,7869.92,1.26089,1.3905,1.11323,0.84808,0.42083,0.52838,0.33477,1.58677,1.81184,1.17438,1.65688e-05,1.65688e-05,1.65688e-05
